type,year,attacks,nkilled,nwounded
167,2018,23,23,24
168,1991,3,0,0
168,1992,18,141,182
168,1994,29,1566,8
168,1995,13,148,82
168,1996,13,100,3
168,1997,32,1018,274
168,1998,9,100,51
168,2000,1,4,0
168,2001,2,2,1
168,2005,1,30,0
168,2008,1,0,4
168,2009,1,4,52
168,2010,8,6,85
168,2011,2,2,49
168,2012,6,10,40
168,2013,4,6,62
168,2014,2,1,16
168,2016,1,0,0
168,2017,2,2,8
168,2018,5,12,9
173,1979,1,5,10
173,1984,1,0,0
173,1985,2,1,3
173,1986,1,62,32
173,1988,1,0,0
173,1989,3,1,16
173,1991,2,0,6
173,1994,1,0,0
173,1995,3,14,161
173,1996,1,19,386
173,2000,5,1,5
173,2001,3,2,7
173,2002,2,1,0
173,2003,7,55,126
173,2004,17,64,293
173,2005,1,1,0
173,2006,3,4,8
173,2007,1,3,1
173,2009,3,5,13
173,2011,2,3,15
173,2012,6,4,10
173,2013,6,1,2
173,2014,14,20,23
173,2015,100,213,281
173,2016,119,150,196
173,2017,54,31,69
173,2018,92,17,60
174,1980,1,0,0
174,1988,3,2,4
174,1990,7,6,63
174,1991,1,2,0
174,1992,14,59,22
174,1995,5,15,23
174,1997,12,41,28
174,1998,1,4,4
174,1999,1,1,12
174,2000,4,4,12
174,2001,6,19,6
174,2002,3,8,19
174,2005,1,0,0
174,2008,1,1,20
174,2009,1,2,1
174,2010,1,3,2
174,2011,3,14,2
174,2012,10,13,32
174,2013,3,7,1
174,2014,1,0,0
174,2015,2,0,4
174,2018,3,15,7
175,2003,6,2,4
175,2004,1,1,0
175,2005,2,0,0
175,2006,2,0,1
176,1981,2,0,0
177,1991,8,123,0
177,1992,4,21,4
177,1994,18,214,26
177,1995,14,40,23
177,1996,4,58,5
177,1997,3,16,1
177,1998,7,258,19
177,1999,6,28,0
177,2000,23,60,31
177,2016,1,1,0
177,2017,3,0,0
178,1974,1,0,0
178,1985,1,0,0
178,1987,2,0,0
178,1991,1,4,2
178,1992,1,0,0
178,1994,1,1,1
179,1994,1,0,0
179,1995,3,3,1
179,1996,5,1,0
179,1997,4,2,1
179,1998,2,1,3
179,1999,1,0,1
179,2000,1,0,4
179,2016,1,0,1
179,2018,1,2,0
180,1994,1,1,1
180,1996,3,0,1
180,1997,1,0,0
180,2000,1,0,0
181,1999,1,2,0
181,2000,1,0,0
181,2002,1,1,0
181,2003,1,1,0
182,1975,1,0,0
182,1980,1,1,0
182,1981,8,0,2
182,1983,1,0,0
182,1984,2,0,2
182,1987,1,0,0
182,1988,2,0,5
182,1989,2,30,0
182,1990,10,3,0
182,1991,7,6,0
182,1992,21,8,12
182,1994,30,45,71
182,1995,13,29,162
182,1996,16,28,8
182,1997,17,133,134
182,1998,1,0,0
182,1999,3,7,6
182,2000,9,36,39
182,2001,5,3,0
182,2002,3,6,6
182,2003,1,7,0
182,2004,1,2,1
182,2005,6,20,56
182,2006,9,22,35
182,2007,153,353,554
182,2008,170,426,564
182,2009,121,381,605
182,2010,130,295,395
182,2011,184,344,640
182,2012,325,783,727
182,2013,341,659,604
182,2014,869,1589,780
182,2015,420,1454,806
182,2016,601,1582,1325
182,2017,614,1914,1287
182,2018,526,1144,828
183,1974,1,0,1
183,1976,1,2,0
183,1977,15,5,35
183,1978,6,2,3
183,1979,15,8,25
183,1980,23,26,31
183,1981,41,8,24
183,1982,26,9,74
183,1983,55,23,316
183,1984,58,21,73
183,1985,101,81,251
183,1986,149,140,405
183,1987,122,111,312
183,1988,235,122,598
183,1989,144,53,141
183,1990,148,139,293
183,1991,122,376,373
183,1992,264,692,443
183,1994,124,351,515
183,1995,32,105,88
183,1996,47,82,106
183,1997,17,23,4
183,1998,6,13,31
183,1999,17,4,74
183,2000,21,18,45
183,2002,8,1,1
183,2007,2,1,1
183,2008,1,0,0
183,2012,4,5,4
183,2013,13,2,5
183,2014,20,9,8
183,2015,5,5,32
183,2016,27,21,11
183,2017,28,21,6
183,2018,41,24,11
184,1974,1,1,0
184,1982,1,1,3
184,1983,1,1,4
184,1986,2,5,30
184,1988,8,0,0
184,1989,1,0,0
184,1990,3,0,1
184,1991,6,0,0
184,1992,3,1,0
184,1994,2,1,1
184,1995,4,0,1
184,1996,1,0,30
184,2001,1,0,2
184,2003,1,0,60
184,2006,1,0,1
184,2015,1,0,1
184,2016,1,0,0
184,2018,1,0,0
185,1970,3,0,0
185,1971,21,0,0
185,1972,18,2,3
185,1973,20,6,2
185,1974,14,19,70
185,1975,132,30,2
185,1976,49,17,5
185,1977,146,44,101
185,1978,206,83,123
185,1979,278,112,284
185,1980,180,110,168
185,1981,101,39,84
185,1982,145,42,53
185,1983,119,40,66
185,1984,141,49,77
185,1985,114,67,182
185,1986,123,57,196
185,1987,104,68,211
185,1988,149,25,144
185,1989,141,29,34
185,1990,110,32,138
185,1991,89,46,164
185,1992,70,29,83
185,1994,37,16,26
185,1995,43,18,86
185,1996,54,4,63
185,1997,85,10,25
185,1998,17,6,6
185,1999,47,0,2
185,2000,112,29,93
185,2001,79,14,174
185,2002,41,5,73
185,2003,21,3,25
185,2004,31,193,1811
185,2005,24,0,82
185,2006,23,2,24
185,2007,11,0,5
185,2008,37,3,59
185,2009,21,3,48
185,2010,3,0,0
185,2012,1,0,0
185,2013,5,0,1
185,2014,4,0,0
185,2015,1,0,0
185,2016,3,0,4
185,2017,4,21,111
185,2018,2,1,0
186,1975,1,1,0
186,1979,3,2,1
186,1981,2,3,6
186,1982,1,5,0
186,1983,6,6,4
186,1984,73,439,210
186,1985,100,511,268
186,1986,129,638,831
186,1987,112,1261,781
186,1988,334,817,969
186,1989,492,1776,727
186,1990,131,1394,295
186,1991,111,1020,386
186,1992,101,973,438
186,1994,30,169,403
186,1995,122,988,599
186,1996,166,787,2163
186,1997,62,486,539
186,1998,35,680,659
186,1999,46,212,579
186,2000,66,446,950
186,2001,35,194,500
186,2002,3,3,0
186,2003,9,23,7
186,2004,33,30,46
186,2005,129,108,319
186,2006,214,1006,1262
186,2007,131,407,555
186,2008,100,353,1059
186,2009,36,201,549
186,2010,3,2,4
186,2012,4,0,1
186,2013,14,0,29
186,2014,16,3,65
186,2015,11,3,14
186,2016,1,0,2
186,2017,41,1,3
186,2018,7,3,5
189,1995,1,0,9
190,2000,1,2,12
195,1973,1,3,0
195,1981,1,2,3
195,1982,3,0,0
195,1983,1,0,0
195,1984,4,305,10
195,1986,5,8,1
195,1987,1,0,0
195,1988,9,26,28
195,1989,8,14,1
195,1990,1,0,0
195,1991,3,32,0
195,1992,4,4,0
195,1994,3,1,3
195,1995,3,6,0
195,1996,8,40,10
195,1997,3,1,21
195,1999,5,16,6
195,2000,7,27,180
195,2001,9,13,3
195,2002,12,580,15
195,2004,1,0,7
195,2005,6,54,26
195,2006,19,388,92
195,2007,21,301,111
195,2008,24,188,20
195,2009,25,76,36
195,2010,27,81,79
195,2011,38,193,123
195,2012,40,60,95
195,2013,46,220,150
195,2014,156,546,320
195,2015,157,210,322
195,2016,172,182,213
195,2017,105,80,176
195,2018,42,42,126
196,1982,1,0,0
196,1983,1,0,2
196,1984,1,0,0
196,1986,6,2,3
196,1987,12,6,7
196,1988,9,6,4
196,1989,17,14,6
196,1990,7,0,0
196,1991,1,1,0
196,1992,5,0,0
196,1994,1,0,0
196,1997,1,0,1
197,1982,1,0,0
197,1984,1,1,0
197,1986,1,0,0
197,1989,1,0,0
197,1991,1,0,0
197,1992,1,0,0
197,1995,1,0,0
197,1997,1,0,0
197,1998,1,1,2
197,1999,1,0,0
197,2003,1,0,0
197,2006,1,0,0
197,2008,3,0,0
198,1971,2,1,2
198,1972,3,0,0
198,1975,1,3,13
198,1979,1,1,0
198,1981,1,1,1
198,1983,1,1,0
198,1986,2,0,0
198,1989,3,0,0
198,1990,6,1,11
198,1991,6,1,1
198,1992,12,2,5
198,1995,1,0,0
198,1996,1,0,0
198,1997,4,1,1
198,1999,2,0,4
198,2000,1,0,1
198,2005,3,0,0
198,2006,1,0,0
198,2008,1,0,0
198,2009,1,0,0
198,2010,3,1,2
198,2011,1,0,0
198,2012,2,0,0
198,2014,5,0,1
198,2015,31,4,4
198,2016,16,0,1
198,2017,18,5,32
198,2018,5,0,1
199,1970,3,47,0
199,1971,1,0,3
199,1972,3,0,0
199,1973,2,0,0
199,1974,3,0,0
199,1975,3,0,0
199,1976,4,0,0
199,1977,4,0,3
199,1978,3,0,0
199,1979,6,1,5
199,1980,7,0,3
199,1981,13,2,31
199,1982,6,0,0
199,1983,3,0,0
199,1984,1,0,0
199,1985,7,0,10
199,1987,1,1,0
199,1988,4,0,5
199,1990,1,1,0
199,1991,2,0,4
199,1992,6,6,6
199,1995,5,1,0
199,1996,4,1,3
199,1997,1,0,0
199,1998,1,0,0
199,1999,2,0,0
199,2000,4,0,0
199,2001,2,14,18
199,2003,1,0,0
199,2007,2,0,1
199,2011,3,0,2
199,2013,2,0,0
199,2016,2,0,2
199,2018,1,0,0
200,1974,4,1,9
200,1975,2,0,0
200,1976,2,5,35
200,1977,3,1,0
200,1978,1,0,0
200,1979,27,80,1
200,1980,33,89,27
200,1981,40,191,223
200,1982,19,96,22
200,1983,1,1,0
200,1984,1,0,1
200,1985,1,30,30
200,1986,4,8,8
200,1989,1,0,0
200,1996,2,15,50
200,1997,1,2,0
200,1998,1,0,0
200,2004,1,4,2
200,2006,1,5,0
200,2008,1,18,14
200,2011,48,163,215
200,2012,176,877,1922
200,2013,274,1560,2236
200,2014,327,3296,1948
200,2015,486,3917,2978
200,2016,469,2809,2975
200,2017,244,1952,1301
200,2018,231,1547,1439
201,1971,1,25,0
201,1976,1,0,1
201,1990,1,0,0
201,1991,2,7,28
201,1992,20,16,30
201,1994,5,1,3
201,1995,4,0,2
201,1996,5,9,1
201,1997,1,0,0
201,2001,2,2,18
201,2004,2,0,2
201,2008,1,0,1
201,2013,2,0,0
201,2014,1,0,0
201,2016,1,0,0
201,2017,1,0,1
201,2018,3,0,0
202,1992,17,14,804
202,1994,28,31,10
202,1995,33,78,22
202,1996,21,50,34
202,1997,39,41,35
202,1998,10,27,3
202,1999,4,2,6
202,2000,5,10,76
202,2001,6,8,11
202,2005,1,0,0
202,2007,1,1,0
202,2009,1,0,1
202,2010,1,4,25
202,2012,5,3,6
202,2014,1,1,2
202,2015,2,7,6
202,2016,2,2,0
202,2017,2,1,0
202,2018,3,33,9
203,1979,1,1,0
203,1995,1,0,0
203,1997,1,1,0
203,1998,1,11,85
203,2000,2,0,0
203,2001,3,1,0
203,2004,1,0,0
203,2008,1,0,2
203,2010,1,0,0
203,2013,7,8,83
203,2014,11,4,43
203,2015,14,10,14
203,2016,3,3,2
203,2017,6,8,4
203,2018,3,9,0
204,1985,3,1,2
204,1991,2,13,0
204,1992,26,8,22
204,1994,6,6,9
204,1995,1,0,0
204,1996,1,3,0
204,2005,1,0,0
205,1972,1,0,0
205,1974,1,2,0
205,1977,3,1,70
205,1978,5,29,25
205,1979,14,54,9
205,1980,22,64,141
205,1981,17,21,62
205,1982,3,1,20
205,1983,1,0,0
205,1984,1,0,20
205,1985,1,0,0
205,1986,3,0,3
205,1988,4,2,2
205,1989,15,35,51
205,1990,9,21,54
205,1991,8,11,27
205,1992,25,39,90
205,1994,18,15,25
205,1995,10,19,25
205,1996,17,6,14
205,1997,18,12,21
205,1998,4,4,42
205,1999,4,0,0
205,2000,4,7,4
205,2001,14,11,59
205,2002,12,16,45
205,2003,6,6,6
205,2004,43,31,150
205,2005,155,130,348
205,2006,199,192,413
205,2007,290,260,647
205,2008,197,154,636
205,2009,297,269,460
205,2010,253,154,313
205,2011,182,152,435
205,2012,280,209,1055
205,2013,468,245,678
205,2014,421,192,650
205,2015,278,116,463
205,2016,329,120,385
205,2017,179,72,270
205,2018,182,69,159
207,1976,1,0,3
207,1979,1,0,0
207,1981,1,0,0
207,1983,1,0,14
207,1989,1,0,0
207,1991,1,0,1
207,1992,1,0,0
207,1994,1,2,0
207,1995,4,4,0
207,1996,3,0,3
207,2005,2,0,14
207,2010,1,0,0
207,2013,3,0,0
207,2015,1,0,0
207,2018,1,0,0
208,1979,1,0,0
208,1980,1,41,100
208,1986,2,0,0
208,1987,4,0,13
208,1991,2,4,0
208,1994,1,1,0
208,1995,1,7,0
208,2001,1,3,0
208,2002,1,21,30
208,2007,1,14,0
208,2008,1,0,0
208,2011,3,4,0
208,2012,3,4,46
208,2013,28,25,28
208,2014,21,42,63
208,2015,19,107,132
208,2016,12,71,26
208,2017,4,5,5
208,2018,18,16,33
209,1970,12,0,1
209,1971,35,1,0
209,1972,9,3,5
209,1974,1,0,1
209,1975,10,0,0
209,1976,34,7,23
209,1977,189,29,89
209,1978,52,40,111
209,1979,119,122,109
209,1980,90,109,60
209,1981,8,11,11
209,1982,5,9,71
209,1983,5,2,24
209,1984,19,27,19
209,1985,2,1,0
209,1986,7,26,7
209,1987,40,155,80
209,1988,42,102,21
209,1989,111,220,53
209,1990,175,408,104
209,1991,275,266,286
209,1992,473,961,398
209,1994,184,522,317
209,1995,129,150,210
209,1996,53,115,75
209,1997,40,44,108
209,1998,22,21,107
209,1999,106,115,255
209,2000,35,12,27
209,2001,19,17,40
209,2002,5,0,0
209,2003,19,67,778
209,2004,26,25,88
209,2005,41,35,140
209,2006,42,39,314
209,2007,28,25,122
209,2008,32,42,274
209,2009,13,18,48
209,2010,20,13,7
209,2011,51,25,110
209,2012,183,247,462
209,2013,41,83,192
209,2014,94,39,89
209,2015,419,490,1107
209,2016,543,1007,2772
209,2017,179,221,328
209,2018,92,93,201
210,2002,1,0,1
210,2014,1,3,2
213,1979,8,13,3
213,1981,24,53,9
213,1982,1,0,0
213,1983,6,121,2
213,1984,3,235,0
213,1985,5,1,8
213,1986,1,1,0
213,1987,1,1,4
213,1988,13,156,21
213,1989,15,72,37
213,1990,12,68,31
213,1991,2,2,0
213,1992,3,2,14
213,1994,10,18,41
213,1995,7,145,20
213,1996,27,386,100
213,1997,22,223,121
213,1998,18,81,72
213,1999,19,75,91
213,2000,20,297,90
213,2001,24,56,83
213,2002,24,173,44
213,2003,30,231,72
213,2004,10,193,107
213,2005,11,80,43
213,2007,1,2,1
213,2008,6,3,11
213,2009,2,11,0
213,2010,6,75,71
213,2012,4,5,0
213,2014,6,98,16
213,2015,10,4,1
213,2016,15,75,19
213,2017,13,7,2
213,2018,10,17,9
214,1991,2,0,1
214,1992,1,1,1
214,1994,9,2,5
214,1995,2,0,2
214,1996,3,0,3
214,1997,2,2,0
214,1999,6,1,37
214,2000,1,0,0
214,2002,3,1,2
214,2003,1,0,1
214,2007,1,0,0
214,2008,1,0,2
214,2009,2,0,8
214,2010,4,1,8
214,2011,3,0,0
214,2012,8,1,36
214,2013,5,1,3
214,2014,891,1389,1226
214,2015,636,765,1401
214,2016,61,48,40
214,2017,62,40,64
214,2018,34,14,22
215,1974,1,1,2
215,1977,1,1,0
215,1978,1,5,0
215,1979,1,0,0
215,1980,1,1,15
215,1981,2,2,4
215,1983,1,111,0
215,1985,2,0,1
215,1986,1,0,0
215,1989,1,1,0
215,1992,1,0,1
215,1995,2,0,0
215,2010,2,0,1
215,2013,1,0,0
215,2014,2,1,0
217,1970,468,33,160
217,1971,247,20,55
217,1972,68,10,35
217,1973,58,45,33
217,1974,94,16,54
217,1975,149,24,158
217,1976,104,4,41
217,1977,130,4,17
217,1978,87,8,8
217,1979,69,18,58
217,1980,67,15,22
217,1981,74,8,15
217,1982,78,11,37
217,1983,44,8,5
217,1984,63,3,780
217,1985,40,3,13
217,1986,49,1,36
217,1987,34,1,1
217,1988,27,1,1
217,1989,42,3,14
217,1990,32,5,7
217,1991,30,2,4
217,1992,32,2,3
217,1994,45,9,13
217,1995,60,178,738
217,1996,35,2,84
217,1997,42,2,19
217,1998,31,4,3
217,1999,53,20,40
217,2000,42,8,10
217,2001,47,3014,21894
217,2002,33,4,11
217,2003,33,0,0
217,2004,9,0,0
217,2005,21,0,0
217,2006,6,1,14
217,2007,8,0,0
217,2008,18,2,13
217,2009,12,22,50
217,2010,17,4,17
217,2011,10,0,2
217,2012,20,7,7
217,2013,20,23,436
217,2014,29,26,19
217,2015,38,54,58
217,2016,67,68,143
217,2017,66,97,946
217,2018,67,45,61
218,1970,33,3,0
218,1971,8,1,0
218,1972,1,0,0
218,1984,4,0,0
218,1985,2,0,0
218,1986,2,0,0
218,1989,1,1,0
218,1990,1,0,0
218,1991,3,0,0
218,1992,11,0,0
218,1994,4,0,4
218,1995,1,0,0
218,1996,1,0,0
218,1997,2,0,1
218,2005,1,0,0
218,2016,1,1,1
219,1992,2,0,1
219,1995,1,0,0
219,1999,8,19,128
219,2004,5,36,31
219,2005,2,10,34
219,2009,2,3,6
219,2015,1,0,0
220,1996,2,0,0
221,1981,1,0,3
222,1970,2,0,0
222,1971,4,0,0
222,1972,1,0,0
222,1973,3,0,0
222,1974,3,0,0
222,1975,5,0,0
222,1976,4,0,0
222,1977,2,1,0
222,1978,7,1,5
222,1979,2,0,0
222,1980,8,3,13
222,1981,7,2,0
222,1982,2,30,0
222,1983,4,4,0
222,1984,3,0,0
222,1985,2,0,0
222,1986,8,13,12
222,1987,13,3,0
222,1988,9,40,3
222,1989,8,14,0
222,1990,1,0,0
222,1991,17,47,1
222,1992,31,7,28
222,1994,12,4,10
222,1995,11,8,34
222,1996,12,13,4
222,1997,41,3,1
222,1998,1,0,1
222,1999,4,0,0
222,2001,5,0,1
222,2002,5,0,0
222,2003,8,0,4
222,2007,2,1,8
222,2008,1,1,0
222,2009,3,10,1
222,2012,1,0,2
222,2013,1,0,7
222,2014,4,1,1
222,2015,3,1,0
222,2016,6,9,77
222,2017,17,5,32
222,2018,12,32,40
223,1992,1,0,0
223,1994,1,0,21
223,1995,1,0,5
223,1996,1,0,1
223,1997,1,1,0
223,2001,4,0,0
223,2017,2,0,0
223,2018,1,0,1
226,1994,1,0,0
228,1991,5,1,2
228,1992,22,17,21
228,1994,8,3,2
228,1995,8,4,12
228,1996,7,3,4
228,1997,17,11,8
228,1998,6,8,3
228,1999,15,11,45
228,2000,9,19,40
228,2001,6,0,3
228,2002,7,4,6
228,2003,7,16,9
228,2005,7,12,7
228,2006,4,9,9
228,2007,7,24,46
228,2008,22,74,177
228,2009,23,47,29
228,2010,112,345,233
228,2011,117,461,413
228,2012,309,1052,920
228,2013,412,623,892
228,2014,749,1346,1304
228,2015,644,2372,3064
228,2016,516,1515,1341
228,2017,222,763,723
228,2018,322,829,601
229,1997,1,8,0
229,1998,4,67,0
229,1999,3,7,0
229,2000,2,10,9
229,2001,5,15,5
229,2002,7,16,32
229,2003,6,154,1
229,2004,4,6,11
229,2005,5,31,36
229,2006,5,23,1
229,2007,11,72,53
229,2008,20,319,26
229,2009,54,824,155
229,2010,18,118,12
229,2011,16,50,8
229,2012,25,288,165
229,2013,21,150,72
229,2014,110,366,170
229,2015,142,371,244
229,2016,168,545,175
229,2017,141,582,193
229,2018,163,993,271
230,1973,1,2,0
230,1975,1,1,0
230,1977,1,1,0
230,1979,1,0,0
230,1985,1,0,0
230,1986,1,2,0
230,1987,1,0,0
230,1988,4,4,18
230,1989,18,33,11
230,1990,3,5,2
230,1995,1,0,0
230,1996,3,0,1
230,1999,7,1,1
230,2000,8,0,2
230,2002,1,0,0
230,2017,2,0,0
231,1980,14,13,75
231,1981,9,13,0
231,1982,10,21,0
231,1983,6,11,3
231,1984,2,3,0
231,1985,1,5,0
231,1987,11,35,19
231,1988,1,2,3
231,1989,3,21,9
231,1990,4,9,14
231,1991,1,0,0
231,1992,1,0,0
231,1994,1,0,25
231,1995,2,0,1
231,2000,1,0,0
231,2001,3,1,0
231,2002,8,8,49
231,2003,1,0,8
231,2006,1,0,5
231,2007,1,0,0
231,2008,5,7,8
231,2010,1,1,1
231,2011,1,0,0
231,2013,3,1,1
231,2014,1,0,0
231,2017,3,0,1
231,2018,2,2,47
235,1973,1,1,7
235,1974,1,0,0
235,1977,1,1,7
235,1980,1,0,2
235,1981,2,0,4
235,1983,1,2,4
235,1984,1,2,1
235,1989,3,0,0
235,1990,5,0,0
235,1991,11,6,7
235,1992,12,3,43
235,1994,1,0,0
235,1995,3,2,7
235,1996,16,9,9
235,1997,37,9,28
235,1998,46,57,34
235,1999,23,14,108
235,2000,14,5,9
235,2001,20,8,11
235,2002,3,0,0
236,1989,4,0,0
236,1990,1,0,20
236,1991,1,1,0
236,1992,3,0,3
347,2000,3,0,1
347,2003,2,5,5
347,2005,1,0,0
347,2007,1,1,0
347,2008,1,2,1
349,1984,1,0,0
349,1992,1,0,1
349,2007,1,0,3
349,2018,2,0,0
359,1978,1,4,0
359,1989,7,6,27
359,1990,35,55,101
359,1991,31,25,20
362,1970,20,8,9
362,1971,13,0,0
362,1972,23,23,45
362,1973,27,1,1
362,1974,28,1,10
362,1975,34,1,12
362,1976,50,4,36
362,1977,39,6,2
362,1978,10,0,1
362,1979,17,0,10
362,1980,20,17,218
362,1981,31,2,31
362,1982,29,5,44
362,1983,5,2,25
362,1984,20,0,2
362,1985,53,9,114
362,1986,46,9,242
362,1987,19,2,32
362,1988,14,1,14
362,1989,21,5,8
362,1990,9,1,4
377,1974,1,0,1
377,1978,2,1,0
377,1988,1,0,0
403,1978,13,66,2
403,1979,32,68,16
403,1980,13,24,99
406,1971,1,0,0
428,1972,1,81,0
499,1970,12,0,0
499,1971,4,0,0
499,1974,1,1,0
499,1977,1,0,0
499,1978,1,0,1
499,1982,1,0,0
499,1983,1,0,0
499,1984,1,0,1
499,1985,4,0,0
499,1986,3,1,34
499,1987,1,0,1
499,1988,4,0,0
499,1989,1,0,0
499,1990,3,0,0
532,1980,1,0,0
603,1970,12,20,1
603,1971,81,110,1
603,1972,292,368,224
603,1973,189,210,275
603,1974,203,235,329
603,1975,194,245,129
603,1976,194,264,19
603,1977,140,103,17
603,1978,99,81,113
603,1979,239,133,150
603,1980,134,78,92
603,1981,140,86,118
603,1982,95,95,152
603,1983,177,77,186
603,1984,144,69,249
603,1985,66,64,175
603,1986,95,63,80
603,1987,117,104,120
603,1988,180,370,263
603,1989,163,66,174
603,1990,147,76,123
603,1991,262,88,235
603,1992,274,94,453
603,1994,164,58,146
603,1995,22,11,5
603,1996,36,14,395
603,1997,76,23,35
603,1998,63,46,259
603,1999,76,8,225
603,2000,61,7,28
603,2001,94,8,33
603,2002,21,2,13
603,2003,23,2,11
603,2004,5,0,2
603,2005,29,57,787
603,2006,6,0,0
603,2007,20,4,13
603,2008,39,0,8
603,2009,23,3,12
603,2010,57,0,22
603,2011,47,1,3
603,2012,55,2,2
603,2013,137,4,64
603,2014,103,0,4
603,2015,115,1,23
603,2016,104,9,20
603,2017,123,42,301
603,2018,99,2,18
604,1972,3,0,0
604,1973,1,0,2
604,1977,1,1,0
604,1984,3,2,0
604,1988,1,28,0
604,1991,6,3,18
604,1992,5,10,56
604,1994,6,1,7
604,1995,5,37,32
604,1996,9,70,92
604,1997,4,2,3
605,1972,1,0,0
605,1977,1,0,0
605,1982,1,15,0
1001,2008,4,2,0
1001,2009,3,0,2
1001,2010,1,0,4
1001,2012,3,1,2
1001,2017,1,0,1
1001,2018,2,0,3
1002,2001,1,1,0
1002,2007,1,0,0
1002,2013,2,0,0
1002,2015,1,0,0
1002,2018,3,1,1
1003,1999,39,23,146
1003,2000,59,23,84
1003,2001,17,20,59
1003,2002,5,1,32
1003,2003,8,5,3
1003,2004,1,0,5
1003,2005,8,1,0
1003,2006,6,0,4
1003,2007,5,1,0
1003,2008,11,0,5
1003,2009,1,0,0
1003,2010,1,1,11
1003,2011,1,0,0
1003,2012,4,3,4
1003,2013,6,1,4
1003,2014,4,2,3
1003,2015,2,0,0
1003,2016,8,0,0
1003,2017,8,0,4
1003,2018,2,1,0
1004,2012,5,68,22
1004,2013,13,226,113
1004,2014,40,908,602
1004,2015,54,218,137
1004,2016,57,632,187
1004,2017,54,581,258
1004,2018,35,87,48
2001,1970,472,34,160
2001,1971,247,20,55
2001,1972,73,11,42
2001,1973,64,46,33
2001,1974,111,18,54
2001,1975,159,56,163
2001,1976,124,30,46
2001,1977,149,15,32
2001,1978,115,15,26
2001,1979,79,23,58
2001,1980,75,18,22
2001,1981,77,8,21
2001,1982,86,13,45
2001,1983,47,8,7
2001,1984,67,16,789
2001,1985,44,334,15
2001,1986,53,1,37
2001,1987,35,1,1
2001,1988,30,3,1
2001,1989,44,18,28
2001,1990,37,8,8
2001,1991,40,15,4
2001,1992,41,8,7
2001,1994,76,39,41
2001,1995,94,240,766
2001,1996,111,98,296
2001,1997,139,231,67
2001,1998,37,8,8
2001,1999,55,20,44
2001,2000,51,13,43
2001,2001,54,3027,21899
2001,2002,33,4,11
2001,2003,34,2,1
2001,2004,11,0,3
2001,2005,22,2,0
2001,2006,15,8,48
2001,2007,17,25,6
2001,2008,31,23,126
2001,2009,17,24,53
2001,2010,24,4,17
2001,2011,12,0,3
2001,2012,39,24,15
2001,2013,32,70,546
2001,2014,37,34,27
2001,2015,62,63,70
2001,2016,78,73,177
2001,2017,98,126,977
2001,2018,100,81,136
2002,1970,6,3,0
2002,1971,4,0,0
2002,1972,3,0,0
2002,1973,6,0,0
2002,1974,11,0,3
2002,1975,9,36,1
2002,1976,42,84,18
2002,1977,23,35,12
2002,1978,187,160,139
2002,1979,571,463,187
2002,1980,1017,2900,463
2002,1981,1100,3031,668
2002,1982,927,3256,373
2002,1983,746,4221,926
2002,1984,561,3784,669
2002,1985,648,2110,446
2002,1986,332,650,250
2002,1987,475,1126,621
2002,1988,432,667,447
2002,1989,473,429,689
2002,1990,271,398,416
2002,1991,653,668,999
2002,1992,205,101,141
2002,1994,134,166,159
2002,1995,148,80,103
2002,1996,111,85,131
2002,1997,113,65,131
2002,1998,1,0,0
2002,1999,8,6,3
2002,2000,14,11,28
2002,2001,8,2,3
2002,2002,3,0,1
2002,2003,8,5,6
2002,2004,5,38,44
2002,2005,3,1,14
2002,2006,5,7,1
2002,2007,4,2,2
2002,2009,9,3,1
2002,2010,1,0,0
2002,2011,1,2,0
2002,2012,1,2,1
2002,2013,13,9,3
2002,2014,5,5,65
2002,2015,1,0,0
2002,2016,3,9,0
2002,2017,4,4,1
2002,2018,15,9,22
2003,1970,63,10,4
2003,1971,23,6,0
2003,1972,25,6,1
2003,1973,78,14,19
2003,1974,81,21,29
2003,1975,53,130,16
2003,1976,90,134,106
2003,1977,104,36,42
2003,1978,209,80,48
2003,1979,228,180,77
2003,1980,308,118,123
2003,1981,361,350,63
2003,1982,611,638,165
2003,1983,910,2192,362
2003,1984,1383,2572,880
2003,1985,1002,1495,628
2003,1986,1139,1283,510
2003,1987,1228,1283,686
2003,1988,995,1785,763
2003,1989,1347,2140,885
2003,1990,1030,1694,1000
2003,1991,1260,1990,874
2003,1992,1153,1422,1480
2003,1994,279,320,395
2003,1995,240,630,442
2003,1996,469,690,582
2003,1997,709,1232,721
2003,1998,86,324,191
2003,1999,127,273,250
2003,2000,141,427,191
2003,2001,221,554,446
2003,2002,155,349,686
2003,2003,116,191,575
2003,2004,42,89,218
2003,2005,49,152,108
2003,2006,50,93,106
2003,2007,47,83,163
2003,2008,144,109,253
2003,2009,159,136,244
2003,2010,148,58,149
2003,2011,106,43,90
2003,2012,132,182,475
2003,2013,182,157,291
2003,2014,279,154,354
2003,2015,173,125,145
2003,2016,159,87,176
2003,2017,165,98,157
2003,2018,297,199,350
2004,1970,2,0,0
2004,1971,1,25,0
2004,1973,2,0,0
2004,1974,4,1,7
2004,1975,10,0,2
2004,1976,2,2,1
2004,1977,4,0,0
2004,1978,35,4,53
2004,1979,15,2,2
2004,1980,1,0,2
2004,1981,4,0,25
2004,1982,3,1,3
2004,1983,13,3,5
2004,1984,15,0,11
2004,1985,10,2,7
2004,1986,12,8,31
